pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,dist_meters,wait_sec,pDayofWeek,pYear,pMonth,pHour,avg_speed,pdate,holiday,weekend
-78.50506751628909,-0.17708146542146802,-78.4975830165276,-0.161106874192361,640.0,5207.0,128.0,1.0,2016.0,9.0,2.0,29.0,2016-09-20,0,0
-78.5007938380879,-0.133512634667548,-78.48187181011241,-0.20289087191010102,1570.0,10488.0,381.0,1.0,2016.0,9.0,2.0,24.0,2016-09-20,0,0
-78.4171799511148,-0.136437443561746,-78.2958126777699,-0.108628083941785,3367.0,38708.0,329.0,1.0,2016.0,9.0,2.0,41.0,2016-09-20,0,0
-78.4817091823675,-0.153076899691928,-78.48364601397559,-0.153248003244569,3366.0,217.0,3327.0,1.0,2016.0,9.0,2.0,0.0,2016-09-20,0,0
-78.29585658085541,-0.108761916545511,-78.29673952712741,-0.10975693295898299,1143.0,510.0,989.0,1.0,2016.0,9.0,3.0,2.0,2016-09-20,0,0
-78.5049844345123,-0.17710671873112,-78.48582755178,-0.15363787844388097,11190.0,3420.0,1838.0,1.0,2016.0,9.0,1.0,1.0,2016-09-20,0,0
-78.5061312391857,-0.18162895229737197,-78.4884421700934,-0.19751225140186604,920.0,5213.0,317.0,1.0,2016.0,9.0,4.0,20.0,2016-09-20,0,0
-78.50336119109059,-0.14524478347126502,-78.4917761703653,-0.172606505702331,742.0,4479.0,90.0,1.0,2016.0,9.0,4.0,22.0,2016-09-20,0,0
-78.29678838850359,-0.109837434815358,-78.36151959612441,-0.126806547719845,2253.0,23189.0,454.0,1.0,2016.0,9.0,4.0,37.0,2016-09-20,0,0
-78.5233687080112,-0.24322794539202697,-78.50732446236559,-0.242794148387089,1109.0,4425.0,469.0,1.0,2016.0,9.0,1.0,14.0,2016-09-20,0,0
-78.5077090801074,-0.247831351598255,-78.5226712020627,-0.316647487734655,10795.0,8304.0,114.0,1.0,2016.0,9.0,1.0,3.0,2016-09-20,0,0
-78.5061312391857,-0.18162895229737197,-78.4884421700934,-0.19751225140186604,920.0,5213.0,317.0,1.0,2016.0,9.0,4.0,20.0,2016-09-20,0,0
-78.4855938792199,-0.126495206543478,-78.4770802037037,-0.12890295185185302,3706.0,1606.0,1151.0,1.0,2016.0,9.0,3.0,2.0,2016-09-20,0,0
